id,name,description,category_id,price,tags,image_url,stock
1,Wireless Headphones,High-quality wireless headphones with noise cancellation,1,2999,audio wireless headphones bluetooth,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=500,50
2,Smartphone,Latest smartphone with advanced features,1,24999,mobile phone smartphone tech,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=500,30
3,Laptop,High-performance laptop for work and gaming,1,54999,computer laptop tech productivity,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=500,25
4,Smart Watch,Fitness tracking smartwatch with health monitoring,1,12999,wearable fitness smartwatch health,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,40
5,Bluetooth Speaker,Portable Bluetooth speaker with excellent sound quality,1,3999,audio speaker bluetooth portable,https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=500,60
6,Cotton T-Shirt,Comfortable cotton t-shirt in various colors,2,599,clothing t-shirt casual cotton,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=500,100
7,Jeans,Classic denim jeans with perfect fit,2,2499,clothing jeans denim casual,https://images.unsplash.com/photo-1542272604-787c3835535d?w=500,75
8,Running Shoes,Comfortable running shoes for athletes,2,3999,shoes running sports athletic,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=500,45
9,Winter Jacket,Warm winter jacket for cold weather,2,5999,clothing jacket winter warm,https://images.unsplash.com/photo-1551028719-00167b16eac5?w=500,35
10,Sunglasses,Stylish sunglasses with UV protection,2,1999,accessories sunglasses style UV,https://images.unsplash.com/photo-1511499767150-a48a237f0083?w=500,80
11,Science Fiction Novel,Engaging science fiction novel with compelling story,3,499,book fiction sci-fi novel,https://images.unsplash.com/photo-1544947950-fa07a98d237f?w=500,200
12,Cookbook,Comprehensive cookbook with delicious recipes,3,899,book cooking recipes food,https://images.unsplash.com/photo-1543002588-bfa74002ed7e?w=500,150
13,History Book,Fascinating history book covering important events,3,699,book history education non-fiction,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=500,120
14,Self-Help Guide,Motivational self-help guide for personal growth,3,599,book self-help motivation personal development,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=500,180
15,Coffee Maker,Automatic coffee maker for perfect brew,4,4999,home kitchen coffee appliance,https://images.unsplash.com/photo-1517668808823-f6c0b4e22b37?w=500,40
16,Garden Tools Set,Complete set of garden tools for gardening,4,2999,garden tools outdoor gardening,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=500,55
17,Bedding Set,Comfortable bedding set for bedroom,4,4999,home bedroom bedding comfort,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=500,30
18,Yoga Mat,Premium yoga mat for exercise and meditation,5,1499,sports yoga fitness exercise,https://images.unsplash.com/photo-1601925260368-4d6da4e0e8ae?w=500,90
19,Bicycle,Mountain bicycle for outdoor adventures,5,24999,sports bicycle outdoor cycling,https://images.unsplash.com/photo-1558618047-3c8c76ca7d13?w=500,15
20,Tennis Racket,Professional tennis racket for players,5,5999,sports tennis racket athletic,https://images.unsplash.com/photo-1622163642998-6c1fc6c2d4d1?w=500,50
21,Gaming Mouse,Precision gaming mouse with RGB lighting,1,2499,gaming mouse computer tech,https://images.unsplash.com/photo-1527814050087-3793815479db?w=500,70
22,Mechanical Keyboard,High-quality mechanical keyboard for typing,1,4999,keyboard computer tech typing,https://images.unsplash.com/photo-1587829741301-dc798b83add3?w=500,45
23,Monitor,27-inch 4K monitor for work and gaming,1,14999,monitor display computer tech,https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?w=500,35
24,Tablet,10-inch tablet for reading and browsing,1,9999,tablet mobile tech reading,https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?w=500,40
25,Headphones Pro,Professional studio headphones for music production,1,8999,audio headphones professional studio,https://images.unsplash.com/photo-1484704849700-f032a568e944?w=500,25
26,Summer Dress,Light and comfortable summer dress,2,1999,clothing dress summer casual,https://images.unsplash.com/photo-1595777457583-95e059d581b8?w=500,85
27,Sneakers,Classic sneakers for everyday wear,2,2999,shoes sneakers casual everyday,https://images.unsplash.com/photo-1549298916-b41d501d3772?w=500,95
28,Backpack,Stylish backpack for school and travel,2,2499,accessories backpack travel school,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=500,65
29,Watch,Classic wristwatch with leather strap,2,3999,accessories watch timepiece style,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,50
30,Hoodie,Comfortable hoodie for casual wear,2,1999,clothing hoodie casual warm,https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=500,75
31,Mystery Novel,Thrilling mystery novel with unexpected twists,3,499,book fiction mystery thriller,https://images.unsplash.com/photo-1532012197267-da84d127e765?w=500,160
32,Biography,Inspiring biography of a famous person,3,699,book biography non-fiction inspiring,https://images.unsplash.com/photo-1532012197267-da84d127e765?w=500,140
33,Poetry Collection,Beautiful collection of poems,3,599,book poetry literature art,https://images.unsplash.com/photo-1512820790803-83ca734da794?w=500,110
34,Children's Book,Fun and educational children's book,3,399,book children education fun,https://images.unsplash.com/photo-1532012197267-da84d127e765?w=500,250
35,Textbook,Comprehensive textbook for students,3,1999,book education textbook learning,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=500,80
36,Vacuum Cleaner,Powerful vacuum cleaner for home cleaning,4,7999,home cleaning appliance vacuum,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=500,30
37,Air Fryer,Healthy air fryer for cooking,4,4999,home kitchen cooking appliance,https://images.unsplash.com/photo-1556910096-6f5e72db6803?w=500,45
38,Desk Lamp,Modern desk lamp with adjustable brightness,4,1499,home office desk lamp lighting,https://images.unsplash.com/photo-1507473885765-e6ed057f782c?w=500,100
39,Plant Pot,Decorative plant pot for indoor plants,4,999,home garden plant decoration,https://images.unsplash.com/photo-1485955900006-10f4d324d411?w=500,120
40,Throw Pillow,Comfortable throw pillow for sofa,4,1299,home decoration pillow comfort,https://images.unsplash.com/photo-1584100936595-3c8b308f9390?w=500,90
41,Dumbbells,Adjustable dumbbells for home workout,5,4999,sports fitness workout weights,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=500,40
42,Jump Rope,Professional jump rope for cardio exercise,5,599,sports fitness cardio exercise,https://images.unsplash.com/photo-1576678927484-cc907957088c?w=500,150
43,Water Bottle,Insulated water bottle for sports,5,999,sports hydration bottle fitness,https://images.unsplash.com/photo-1602143407151-7111542de6e8?w=500,200
44,Camping Tent,Spacious camping tent for outdoor adventures,5,9999,sports outdoor camping tent,https://images.unsplash.com/photo-1478131143081-80f7f84ca84d?w=500,20
45,Hiking Boots,Sturdy hiking boots for trails,5,5999,shoes hiking outdoor boots,https://images.unsplash.com/photo-1544966503-7cc5ac882d5f?w=500,35
46,Action Figure,Collectible action figure for kids,6,1299,toys action figure collectible,https://images.unsplash.com/photo-1555252333-9f8e92e65df9?w=500,100
47,Board Game,Fun board game for family night,6,1799,toys board game family entertainment,https://images.unsplash.com/photo-1606092195730-5d7b9af1efc5?w=500,60
48,Puzzle,1000-piece jigsaw puzzle,6,999,toys puzzle brain game,https://images.unsplash.com/photo-1605559424843-9e4c228bf1c2?w=500,80
49,LEGO Set,Creative LEGO building set,6,2499,toys lego building creative,https://images.unsplash.com/photo-1558618047-3c8c76ca7d13?w=500,45
50,Remote Control Car,Fast remote control car,6,1999,toys remote control car fun,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=500,55
